SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec
BIHAR,1940,0.90,43.80,65.50,5.00,31.90,114.60,317.60,314.90,171.60,4.90,0.00,17.50,1088.30,44.70,102.50,918.70,22.40
BIHAR,1941,16.20,2.80,0.70,4.60,67.10,177.70,248.80,466.00,190.20,47.80,1.10,0.00,1223.10,19.00,72.50,1082.70,48.90
BIHAR,1942,34.40,43.50,14.70,18.20,28.10,174.70,253.50,330.40,347.20,7.00,0.00,0.90,1252.50,77.80,61.00,1105.70,8.00
BIHAR,1943,34.70,16.90,0.20,40.70,37.00,169.80,296.00,322.10,215.40,37.00,0.00,0.00,1169.90,51.60,78.00,1003.30,37.00
BIHAR,1944,27.30,32.60,42.00,34.10,21.90,223.90,253.50,322.80,221.30,48.50,0.20,0.80,1228.80,59.90,98.00,1021.50,49.50
BIHAR,1945,50.70,24.00,1.40,32.40,57.80,120.50,226.90,265.60,305.50,154.80,0.00,3.20,1242.90,74.70,91.50,918.60,158.00
BIHAR,1946,0.00,21.30,5.00,52.30,88.60,168.70,354.70,267.80,271.80,148.70,14.90,0.00,1393.70,21.30,145.90,1062.90,163.60
BIHAR,1947,5.60,5.60,10.20,7.50,57.70,89.40,394.40,244.60,215.30,61.50,0.10,0.30,1092.10,11.20,75.40,943.70,61.90
BIHAR,1948,11.10,7.50,3.60,11.30,46.30,114.60,409.00,329.80,248.90,81.00,36.20,0.00,1299.20,18.60,61.20,1102.20,117.20
BIHAR,1949,16.50,42.80,5.70,35.50,93.10,200.20,341.70,386.50,217.90,103.40,1.10,0.00,1444.40,59.40,134.30,1146.30,104.50
BIHAR,1950,9.80,11.80,22.10,2.20,43.30,346.50,257.00,313.30,113.40,3.00,0.10,2.10,1124.60,21.60,67.60,1030.10,5.20
BIHAR,1951,7.30,1.50,5.80,8.20,22.80,144.50,307.80,204.50,114.30,28.70,4.70,0.10,850.20,8.80,36.80,771.10,33.50
BIHAR,1952,1.10,10.30,20.10,24.60,57.00,272.50,212.50,291.90,297.70,15.40,3.40,0.40,1206.80,11.40,101.60,1074.50,19.30
BIHAR,1953,29.70,4.20,8.70,16.70,37.40,224.70,431.80,263.30,342.20,18.40,0.90,0.80,1378.70,33.90,62.70,1262.00,20.20
BIHAR,1954,12.50,8.40,0.80,0.60,40.90,166.60,366.10,308.60,129.50,15.10,0.20,1.30,1050.50,20.90,42.30,970.70,16.60
BIHAR,1955,20.00,6.70,2.30,11.90,28.20,172.50,505.70,268.70,192.20,35.70,0.30,0.10,1244.20,26.70,42.50,1139.00,36.10
BIHAR,1956,19.30,4.70,9.60,5.30,75.40,319.40,200.60,286.30,359.80,168.80,36.00,8.10,1493.40,24.00,90.40,1166.20,212.90
BIHAR,1957,75.20,2.80,11.60,0.50,1.30,115.60,334.50,295.80,115.20,11.60,0.00,2.70,966.90,78.00,13.40,861.20,14.40
BIHAR,1958,16.00,2.70,4.70,26.40,16.10,120.70,222.80,451.10,224.20,81.50,0.70,0.60,1167.40,18.70,47.20,1018.80,82.70
BIHAR,1959,81.20,1.50,9.40,18.60,35.70,132.30,245.80,264.20,157.10,233.80,0.00,0.10,1179.60,82.70,63.70,799.30,233.90
BIHAR,1960,1.40,0.10,42.70,5.20,49.90,117.60,357.40,285.50,348.10,37.90,2.00,0.00,1247.90,1.50,97.90,1108.70,39.90
BIHAR,1961,11.70,35.80,1.40,2.00,33.90,239.70,211.60,317.50,157.50,236.00,0.80,10.10,1258.10,47.50,37.30,926.30,246.90
BIHAR,1962,13.00,7.80,9.50,20.80,38.80,156.40,244.30,395.40,216.30,72.50,0.00,3.20,1178.10,20.80,69.10,1012.40,75.70
BIHAR,1963,3.40,1.70,9.40,17.50,78.90,154.00,375.40,273.50,255.70,138.70,17.80,0.20,1326.10,5.10,105.90,1058.60,156.60
BIHAR,1964,1.40,3.30,2.40,21.90,59.30,134.70,453.60,157.70,219.00,66.30,2.70,0.00,1122.50,4.70,83.60,965.10,69.10
BIHAR,1965,0.40,1.20,15.70,7.10,7.70,98.80,302.20,328.30,215.00,22.20,1.80,2.40,1002.70,1.70,30.40,944.30,26.30
BIHAR,1966,21.20,6.90,0.10,0.90,39.50,114.50,155.50,308.30,83.10,18.30,17.10,1.60,767.00,28.10,40.40,661.50,37.00
BIHAR,1967,0.20,0.10,38.60,30.60,23.60,80.70,278.20,282.10,253.80,10.30,0.10,1.50,999.90,0.20,92.80,894.80,12.00
BIHAR,1968,29.10,1.70,7.00,3.00,17.30,261.80,329.60,293.10,79.20,113.30,0.00,4.90,1140.10,30.80,27.30,963.70,118.20
BIHAR,1969,5.20,9.30,9.70,20.70,64.40,193.10,348.40,379.40,219.10,15.30,23.60,0.30,1288.60,14.50,94.80,1140.10,39.20
BIHAR,1970,22.10,13.40,3.20,17.90,39.20,194.60,284.20,235.60,229.50,34.50,0.40,0.00,1074.70,35.50,60.20,944.00,35.00
BIHAR,1971,17.30,14.60,5.10,91.40,81.50,278.00,307.00,367.90,129.20,138.60,1.90,0.00,1432.60,31.90,178.00,1082.20,140.50
BIHAR,1972,12.90,38.00,2.70,3.20,3.40,56.70,163.40,154.90,209.70,48.40,24.60,0.00,717.90,51.00,9.20,584.70,73.00
BIHAR,1973,22.90,10.20,3.80,4.40,65.00,200.90,185.10,258.90,271.40,158.20,8.30,0.00,1189.00,33.10,73.10,916.30,166.50
BIHAR,1974,3.90,0.70,21.90,9.90,39.10,129.40,451.60,317.50,229.20,28.00,0.30,3.70,1235.20,4.60,70.90,1127.70,32.00
BIHAR,1975,9.10,4.10,12.00,11.00,34.40,143.20,403.10,155.20,245.30,51.70,0.00,0.00,1069.10,13.20,57.50,946.70,51.70
BIHAR,1976,2.30,12.40,0.90,8.90,80.10,147.10,221.00,292.80,372.60,22.40,0.70,0.50,1161.70,14.70,90.00,1033.40,23.70
BIHAR,1977,5.30,2.90,1.30,17.00,83.70,102.50,375.50,266.00,121.00,147.10,8.10,17.30,1147.50,8.10,101.90,865.00,172.50
BIHAR,1978,13.40,27.80,16.80,24.50,51.80,190.40,313.60,252.60,248.60,142.80,4.80,3.70,1290.80,41.10,93.00,1005.20,151.40
BIHAR,1979,23.40,19.40,2.30,21.30,6.20,90.60,435.50,166.10,113.00,88.50,25.20,10.30,1001.90,42.90,29.80,805.20,124.00
BIHAR,1980,4.70,2.40,9.50,7.90,80.90,160.20,389.90,375.30,190.50,29.50,0.20,1.00,1252.20,7.10,98.40,1115.90,30.80
BIHAR,1981,31.30,5.70,14.30,47.90,86.30,107.90,580.10,311.30,168.80,1.00,6.10,3.90,1364.70,37.00,148.40,1168.10,11.00
BIHAR,1982,4.40,6.10,28.20,14.70,31.00,222.40,227.20,164.50,170.50,42.10,21.50,1.00,933.50,10.50,73.90,784.60,64.60
BIHAR,1983,13.10,1.70,8.00,45.00,81.10,101.20,353.80,195.80,220.60,69.90,0.00,14.10,1104.20,14.80,134.10,871.30,84.00
BIHAR,1984,28.60,33.90,1.30,11.20,65.60,353.40,476.40,216.90,219.00,15.40,1.50,3.00,1426.20,62.50,78.10,1265.80,19.90
BIHAR,1985,8.80,0.50,0.50,8.00,69.20,163.20,481.50,238.00,289.00,188.00,1.20,7.10,1455.00,9.30,77.70,1171.70,196.30
BIHAR,1986,1.10,13.90,0.50,16.00,94.30,168.40,395.70,263.50,221.10,124.20,1.30,22.10,1322.10,15.00,110.80,1048.60,147.60
BIHAR,1987,0.70,3.70,5.40,37.70,40.10,143.60,452.00,539.80,379.70,52.80,2.70,2.30,1660.40,4.30,83.10,1515.10,57.90
BIHAR,1988,1.20,15.30,27.30,46.90,46.20,174.50,364.50,459.40,153.20,33.70,1.50,13.80,1337.40,16.40,120.30,1151.60,49.00
BIHAR,1989,8.90,8.70,6.90,0.20,100.30,152.90,446.00,171.90,330.90,28.20,1.00,14.00,1269.90,17.50,107.40,1101.70,43.20
BIHAR,1990,0.30,30.20,13.80,14.00,83.30,156.60,485.50,204.40,201.20,49.70,0.00,0.20,1239.40,30.60,111.10,1047.80,49.90
BIHAR,1991,14.50,6.30,7.90,8.90,31.20,176.20,179.70,324.20,270.50,7.20,0.00,19.20,1045.70,20.70,48.00,950.50,26.50
BIHAR,1992,2.60,3.10,0.10,2.60,61.10,83.90,284.80,219.20,85.90,52.40,1.40,0.40,797.60,5.80,63.80,673.80,54.20
BIHAR,1993,9.40,4.00,24.50,24.50,51.10,154.80,209.10,357.30,320.00,34.30,19.30,0.10,1208.30,13.40,100.10,1041.20,53.60
BIHAR,1994,28.30,29.10,1.00,7.00,32.70,130.90,217.70,257.60,226.50,32.90,4.40,1.20,969.40,57.50,40.70,832.80,38.50
